Prov/Terr,FED ID,Federal Electoral Districts,Total,Total Income,"Under $5,000","$5,000 to $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $54,999","$55,000 to $59,999","$60,000 to $69,999","$70,000 to $79,999","$80,000 to $89,999","$90,000 to $99,999","$100,000 to $149,999","$150,000 to $249,999","$250,000 and over",
10,10001,Avalon,35390,2158179000 ,1640 ,1510 ,1940 ,2940 ,1930 ,1870 ,1890 ,1880 ,1870 ,1600 ,1500 ,1440 ,2310 ,1900 ,1640 ,1410 ,4010 ,1720 ,400 ,
10,10002,Bonavista--Burin--Trinity,31810,1623666000 ,1500 ,1450 ,2160 ,3800 ,2330 ,2030 ,2120 ,1920 ,1680 ,1430 ,1180 ,1070 ,1620 ,1200 ,1070 ,970 ,3090 ,1060 ,150 ,
10,10003,Coast of Bays--Central--Notre Dame,32830,1604022000 ,1940 ,1500 ,2400 ,3810 ,2290 ,2120 ,2100 ,2060 ,1880 ,1600 ,1330 ,1140 ,1890 ,1330 ,1050 ,950 ,2350 ,890 ,210 ,
10,10004,Labrador,10520,775647000 ,680 ,430 ,480 ,480 ,350 ,370 ,470 ,410 ,350 ,340 ,340 ,320 ,610 ,530 ,540 ,590 ,2470 ,650 ,110 ,
10,10005,Long Range Mountains,36630,1704707000 ,1910 ,1860 ,2750 ,4100 ,2720 ,2430 ,2550 ,2280 ,2160 ,1800 ,1480 ,1370 ,2110 ,1560 ,1280 ,1020 ,2330 ,720 ,220 ,
10,10006,St. John's East,32410,2267652000 ,2210 ,1810 ,2050 ,2190 ,1580 ,1470 ,1470 ,1500 ,1530 ,1330 ,1260 ,1190 ,2190 ,1780 ,1500 ,1370 ,3310 ,1770 ,900 ,
10,10007,St. John's South--Mount Pearl,32130,1877709000 ,2020 ,1810 ,2050 ,2420 ,1880 ,1750 ,1730 ,1840 ,1840 ,1560 ,1360 ,1300 ,2160 ,1700 ,1320 ,1100 ,2590 ,1230 ,460 ,
TOTAL,,,211710,12011582000 ,11900 ,10360 ,13830 ,19730 ,13070 ,12030 ,12330 ,11890 ,11310 ,9660 ,8440 ,7830 ,12880 ,10010 ,8410 ,7410 ,20150 ,8040 ,2440 ,
11,11001,Cardigan,14400,662841000 ,820 ,720 ,860 ,1250 ,1140 ,1000 ,1080 ,1000 ,950 ,830 ,720 ,610 ,910 ,700 ,460 ,280 ,740 ,240 ,80 ,
11,11002,Charlottetown,13260,618219000 ,1130 ,870 ,960 ,1140 ,1010 ,870 ,870 ,750 ,700 ,690 ,590 ,530 ,810 ,590 ,430 ,310 ,650 ,230 ,130 ,
11,11003,Egmont,14360,607578000 ,800 ,700 ,890 ,1390 ,1140 ,1190 ,1240 ,1130 ,1040 ,870 ,690 ,550 ,820 ,580 ,350 ,260 ,500 ,150 ,80 ,
11,11004,Malpeque,13550,640582000 ,750 ,680 ,730 ,1050 ,940 ,900 ,950 ,1010 ,960 ,900 ,770 ,650 ,970 ,720 ,430 ,280 ,600 ,190 ,90 ,
TOTAL,,,55580,2529220000 ,3500 ,2970 ,3430 ,4830 ,4230 ,3960 ,4130 ,3900 ,3650 ,3290 ,2770 ,2330 ,3510 ,2590 ,1680 ,1140 ,2490 ,810 ,370 ,
12,12001,Cape Breton--Canso,28300,1288371000 ,1920 ,1990 ,1570 ,2590 ,2280 ,2020 ,1900 ,1790 ,1600 ,1390 ,1200 ,1110 ,1710 ,1290 ,990 ,690 ,1600 ,540 ,150 ,
12,12002,Central Nova,28290,1364419000 ,1770 ,1990 ,1600 ,2320 ,2150 ,1780 ,1840 ,1770 ,1640 ,1500 ,1330 ,1190 ,1880 ,1430 ,1000 ,710 ,1630 ,560 ,200 ,
12,12003,Cumberland--Colchester,31380,1357211000 ,2140 ,2230 ,1990 ,2890 ,2460 ,2130 ,2050 ,2140 ,1980 ,1820 ,1500 ,1250 ,1960 ,1430 ,990 ,660 ,1250 ,380 ,150 ,
12,12004,Dartmouth--Cole Harbour,34640,1841219000 ,2300 ,2400 ,1870 ,2010 ,1910 ,1760 ,1910 ,1980 ,1980 ,1820 ,1640 ,1530 ,2720 ,2310 ,1770 ,1240 ,2420 ,790 ,290 ,
12,12005,Halifax,34050,1988603000 ,3540 ,2780 ,2100 ,2500 ,1920 ,1790 ,1740 ,1700 ,1610 ,1490 ,1260 ,1180 ,2100 ,1750 ,1400 ,990 ,2320 ,1190 ,690 ,
12,12006,Halifax West,34200,2067076000 ,2690 ,1920 ,1800 ,1860 ,1870 ,1680 ,1670 ,1810 ,1720 ,1620 ,1510 ,1380 ,2500 ,2240 ,1850 ,1360 ,2960 ,1230 ,520 ,
12,12007,Kings--Hants,32980,1543072000 ,2190 ,1940 ,1790 ,2640 ,2420 ,2080 ,1990 ,2050 ,2070 ,1830 ,1640 ,1540 ,2400 ,1800 ,1340 ,870 ,1710 ,510 ,170 ,
12,12008,Sackville--Preston--Chezzetcook,33630,1877878000 ,1790 ,1630 ,1580 ,1790 ,1700 ,1570 ,1730 ,1860 ,1930 ,1840 ,1800 ,1710 ,3100 ,2590 ,2060 ,1420 ,2580 ,710 ,240 ,
12,12009,South Shore--St. Margarets,37970,1884962000 ,2120 ,2190 ,2090 ,3320 ,2820 ,2370 ,2360 ,2450 ,2300 ,2070 ,1860 ,1580 ,2570 ,2080 ,1500 ,1040 ,2200 ,760 ,300 ,
12,12010,Sydney--Victoria,29340,1184602000 ,2950 ,2360 ,1760 ,2460 ,2420 ,2150 ,2090 ,1870 ,1630 ,1380 ,1230 ,1070 ,1630 ,1150 ,880 ,630 ,1210 ,390 ,110 ,
12,12011,West Nova,33710,1420373000 ,2110 ,2250 ,2160 ,3620 ,2710 ,2330 ,2360 ,2220 ,2020 ,1660 ,1470 ,1340 ,2340 ,1590 ,1000 ,690 ,1350 ,370 ,130 ,
TOTAL,,,358470,17817785000 ,25520 ,23700 ,20290 ,27990 ,24660 ,21640 ,21620 ,21650 ,20490 ,18400 ,16440 ,14880 ,24890 ,19650 ,14770 ,10300 ,21220 ,7420 ,2940 ,
13,13001,Acadie--Bathurst,33760,1433052000 ,1670 ,2460 ,2060 ,3960 ,2490 ,2520 ,2820 ,2580 ,2060 ,1630 ,1390 ,1070 ,1680 ,1360 ,1000 ,650 ,1690 ,530 ,130 ,
13,13002,Beauséjour,33880,1548692000 ,1660 ,1860 ,1740 ,3040 ,2510 ,2470 ,2660 ,2710 ,2290 ,1960 ,1620 ,1400 ,2260 ,1630 ,1080 ,800 ,1530 ,480 ,180 ,
