Prov/Terr,FED ID,Federal Electoral Districts,Total,Total Income,"Under $5,000","$5,000 to $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $54,999","$55,000 to $59,999","$60,000 to $69,999","$70,000 to $79,999","$80,000 to $89,999","$90,000 to $99,999","$100,000 to $149,999","$150,000 to $249,999","$250,000 and over",
10,10001,Avalon,36640,1274862000 ,3180 ,2660 ,3940 ,4820 ,3320 ,2740 ,2290 ,1900 ,2040 ,1620 ,1210 ,1070 ,1530 ,1240 ,1150 ,800 ,820 ,240 ,70 ,
10,10002,Bonavista--Burin--Trinity,32370,863425000 ,3210 ,2690 ,4580 ,5760 ,3760 ,2860 ,2130 ,1460 ,1240 ,910 ,620 ,500 ,730 ,540 ,510 ,400 ,370 ,70 ,30 ,
10,10003,Coast of Bays--Central--Notre Dame,34060,941467000 ,3680 ,2750 ,4980 ,5700 ,3680 ,2780 ,2140 ,1570 ,1400 ,930 ,630 ,500 ,930 ,680 ,660 ,450 ,430 ,120 ,50 ,
10,10004,Labrador,10260,425799000 ,1300 ,760 ,840 ,840 ,740 ,650 ,620 ,560 ,470 ,450 ,370 ,290 ,530 ,440 ,330 ,340 ,620 ,80 ,20 ,
10,10005,Long Range Mountains,38520,1143624000 ,3140 ,3000 ,5150 ,6270 ,4170 ,3350 ,2510 ,1910 ,1810 ,1320 ,910 ,780 ,1200 ,900 ,870 ,580 ,490 ,120 ,60 ,
10,10006,St. John's East,34560,1556927000 ,2820 ,2340 ,2920 ,3190 ,2440 ,2100 ,2050 ,1990 ,2000 ,1790 ,1380 ,1200 ,1960 ,1580 ,1430 ,960 ,1530 ,570 ,300 ,
10,10007,St. John's South--Mount Pearl,35290,1351536000 ,2340 ,2460 ,3450 ,3920 ,2950 ,2650 ,2290 ,2200 ,2210 ,1730 ,1410 ,1180 ,1760 ,1370 ,1190 ,800 ,1020 ,270 ,110 ,
TOTAL,,,221690,7557640000 ,19670 ,16670 ,25840 ,30500 ,21080 ,17120 ,14040 ,11600 ,11170 ,8740 ,6530 ,5530 ,8650 ,6750 ,6140 ,4310 ,5270 ,1470 ,640 ,
11,11001,Cardigan,15170,540845000 ,1160 ,1010 ,1320 ,1690 ,1470 ,1350 ,1160 ,1060 ,940 ,750 ,550 ,480 ,710 ,580 ,360 ,190 ,280 ,80 ,30 ,
11,11002,Charlottetown,15510,551140000 ,1320 ,1080 ,1370 ,1820 ,1530 ,1300 ,1050 ,950 ,880 ,700 ,580 ,490 ,760 ,550 ,430 ,230 ,350 ,100 ,40 ,
