Prov/Terr,FED ID,Federal Electoral Districts,Employment Income #,Employment Income $,Pension Income #,Pension Income $,Investment Income #,Investment Income $,Self-employment Income #,Self-employment Income $,Benefits Income #,Benefits Income $,Other Income #,Other Income $,,,,,,,,,,
10,10001,Avalon,48360,2381240000 ,25040 ,474038000 ,13760 ,91568000 ,4790 ,125391000 ,34750 ,263826000 ,12150 ,96978000 ,,,,,,,,,,
10,10002,Bonavista--Burin--Trinity,37990,1529205000 ,27200 ,422538000 ,9530 ,51514000 ,4870 ,91039000 ,39410 ,327445000 ,8770 ,65350000 ,,,,,,,,,,
10,10003,Coast of Bays--Central--Notre Dame,39340,1519872000 ,27810 ,484286000 ,11170 ,78324000 ,4440 ,87846000 ,37910 ,298034000 ,9830 ,77128000 ,,,,,,,,,,
10,10004,Labrador,16090,938094000 ,5000 ,93062000 ,3650 ,40292000 ,1180 ,34884000 ,8960 ,64897000 ,3850 ,30217000 ,,,,,,,,,,
10,10005,Long Range Mountains,45550,1702433000 ,30920 ,552861000 ,12120 ,74607000 ,4630 ,88354000 ,42220 ,352248000 ,11060 ,77828000 ,,,,,,,,,,
10,10006,St. John's East,47310,2587740000 ,20130 ,557931000 ,18000 ,271481000 ,4660 ,155356000 ,21690 ,135775000 ,12960 ,116297000 ,,,,,,,,,,
10,10007,St. John's South--Mount Pearl,46980,2257466000 ,21400 ,488687000 ,14850 ,133317000 ,3710 ,91678000 ,24410 ,164997000 ,11690 ,93099000 ,,,,,,,,,,
TOTAL,,,281620,12916051000 ,157500 ,3073402000 ,83070 ,741103000 ,28280 ,674548000 ,209350 ,1607222000 ,70300 ,556896000 ,,,,,,,,,,
11,11001,Cardigan,20050,711931000 ,10510 ,216538000 ,7230 ,73737000 ,3750 ,66225000 ,13120 ,97489000 ,5140 ,37765000 ,,,,,,,,,,
11,11002,Charlottetown,18950,698117000 ,10180 ,248860000 ,7680 ,94106000 ,2040 ,31794000 ,9930 ,60428000 ,5120 ,36055000 ,,,,,,,,,,
11,11003,Egmont,19850,632482000 ,11120 ,200486000 ,6420 ,50742000 ,3490 ,59307000 ,14950 ,116276000 ,4580 ,28996000 ,,,,,,,,,,
11,11004,Malpeque,19570,715447000 ,9420 ,197934000 ,7280 ,74208000 ,3370 ,44335000 ,10700 ,67786000 ,5190 ,38386000 ,,,,,,,,,,
TOTAL,,,78420,2757977000 ,41230 ,863818000 ,28620 ,292793000 ,12640 ,201661000 ,48690 ,341980000 ,20020 ,141202000 ,,,,,,,,,,
12,12001,Cape Breton--Canso,34530,1252563000 ,25660 ,510753000 ,11650 ,105529000 ,3540 ,70213000 ,28500 ,212723000 ,9510 ,66577000 ,,,,,,,,,,
12,12002,Central Nova,36480,1353197000 ,24520 ,536347000 ,13930 ,157467000 ,4530 ,62272000 ,23620 ,149122000 ,11140 ,94809000 ,,,,,,,,,,
12,12003,Cumberland--Colchester,39450,1410024000 ,26690 ,565157000 ,14960 ,148342000 ,5340 ,61737000 ,25480 ,141854000 ,11050 ,75610000 ,,,,,,,,,,
12,12004,Dartmouth--Cole Harbour,49800,2128522000 ,25110 ,698129000 ,18950 ,197058000 ,4720 ,70574000 ,20540 ,109412000 ,15260 ,120596000 ,,,,,,,,,,
12,12005,Halifax,46660,2112210000 ,20800 ,574796000 ,21590 ,574640000 ,6270 ,133285000 ,17800 ,96932000 ,14820 ,126214000 ,,,,,,,,,,
12,12006,Halifax West,50400,2392099000 ,21340 ,612543000 ,21550 ,358279000 ,6030 ,105142000 ,18950 ,91535000 ,16110 ,138383000 ,,,,,,,,,,
12,12007,Kings--Hants,43150,1636008000 ,25740 ,565546000 ,16670 ,212572000 ,5700 ,64535000 ,24790 ,132216000 ,13050 ,88887000 ,,,,,,,,,,
12,12008,Sackville--Preston--Chezzetcook,50170,2246551000 ,21410 ,527942000 ,15380 ,155951000 ,5040 ,66683000 ,20470 ,102012000 ,13860 ,103727000 ,,,,,,,,,,
12,12009,South Shore--St. Margarets,45890,1747327000 ,32840 ,726676000 ,22000 ,258534000 ,8390 ,152778000 ,30580 ,182191000 ,15170 ,117916000 ,,,,,,,,,,
12,12010,Sydney--Victoria,35090,1192978000 ,25230 ,509427000 ,11390 ,92400000 ,2950 ,55016000 ,30070 ,232174000 ,9140 ,65808000 ,,,,,,,,,,
12,12011,West Nova,41050,1359095000 ,29650 ,594532000 ,16240 ,157674000 ,6660 ,83519000 ,30160 ,181446000 ,11200 ,71855000 ,,,,,,,,,,
TOTAL,,,472670,18830575000 ,278980 ,6421848000 ,184300 ,2418445000 ,59150 ,925754000 ,270940 ,1631619000 ,140290 ,1070382000 ,,,,,,,,,,
13,13001,Acadie--Bathurst,41220,1361349000 ,28300 ,481627000 ,10690 ,80697000 ,3990 ,77558000 ,38790 ,308913000 ,9550 ,81253000 ,,,,,,,,,,
13,13002,Beauséjour,45730,1729397000 ,25660 ,518042000 ,13760 ,140817000 ,5460 ,73569000 ,29920 ,202726000 ,11360 ,82904000 ,,,,,,,,,,
13,13003,Fredericton,42560,1817088000 ,20870 ,587419000 ,16150 ,163821000 ,4430 ,70394000 ,18320 ,93508000 ,13230 ,87909000 ,,,,,,,,,,
13,13004,Fundy Royal,43350,1848690000 ,22070 ,491590000 ,15420 ,131702000 ,4860 ,69034000 ,22870 ,122841000 ,12950 ,97083000 ,,,,,,,,,,
13,13005,Madawaska--Restigouche,31380,1055017000 ,21700 ,405071000 ,8640 ,68696000 ,3000 ,38403000 ,25360 ,166101000 ,6980 ,50962000 ,,,,,,,,,,
13,13006,Miramichi--Grand Lake,28100,923629000 ,19550 ,355535000 ,7800 ,54665000 ,2690 ,33709000 ,25510 ,192703000 ,6850 ,49545000 ,,,,,,,,,,
13,13007,Moncton--Riverview--Dieppe,50080,1936121000 ,24810 ,605204000 ,17180 ,164766000 ,4950 ,77344000 ,24510 ,132441000 ,13660 ,93522000 ,,,,,,,,,,
13,13008,New Brunswick Southwest,34000,1353760000 ,19260 ,428596000 ,11640 ,99246000 ,4860 ,78755000 ,20500 ,117233000 ,9890 ,66509000 ,,,,,,,,,,
13,13009,Saint John--Rothesay,41230,1678146000 ,21760 ,511565000 ,14420 ,162078000 ,3110 ,54379000 ,22420 ,128781000 ,12330 ,87563000 ,,,,,,,,,,
13,13010,Tobique--Mactaquac,35400,1284990000 ,19910 ,371018000 ,11320 ,105321000 ,4660 ,56242000 ,23670 ,136576000 ,9150 ,60812000 ,,,,,,,,,,
TOTAL,,,393020,14988187000 ,223890 ,4755667000 ,127030 ,1171810000 ,42010 ,629387000 ,251860 ,1601823000 ,105950 ,758061000 ,,,,,,,,,,
24,24001,Abitibi--Baie-James--Nunavik--Eeyou,39620,1713338000 ,15220 ,268218000 ,12640 ,126409000 ,3030 ,60309000 ,26330 ,176807000 ,16100 ,87867000 ,,,,,,,,,,
24,24002,Abitibi--Témiscamingue,55170,2297345000 ,28110 ,547795000 ,21730 ,192666000 ,5870 ,101337000 ,36270 ,234707000 ,15300 ,109027000 ,,,,,,,,,,
24,24003,Ahuntsic-Cartierville,54300,2179102000 ,25660 ,592518000 ,29330 ,359729000 ,8470 ,184139000 ,33220 ,197344000 ,16980 ,109844000 ,,,,,,,,,,
24,24004,Alfred-Pellan,54050,2324906000 ,24430 ,599813000 ,26150 ,322398000 ,7110 ,139981000 ,26170 ,138742000 ,16860 ,106602000 ,,,,,,,,,,
24,24005,Argenteuil--La Petite-Nation,47290,1724237000 ,29810 ,651264000 ,19740 ,179507000 ,8330 ,113987000 ,32000 ,191060000 ,14940 ,118229000 ,,,,,,,,,,
24,24006,Avignon--La Mitis--Matane--Matapédia,35030,1120617000 ,25100 ,430515000 ,13800 ,90377000 ,5220 ,53909000 ,32410 ,221430000 ,10240 ,56081000 ,,,,,,,,,,
24,24007,Beauce,57740,2033121000 ,30110 ,557004000 ,28210 ,332446000 ,11560 ,114447000 ,37240 ,200282000 ,17040 ,86783000 ,,,,,,,,,,
24,24008,Beauport--Limoilou,48990,1766792000 ,28180 ,633004000 ,20160 ,121604000 ,6000 ,80400000 ,30200 ,177646000 ,14100 ,87920000 ,,,,,,,,,,
24,24009,Bécancour--Nicolet--Saurel,45660,1676237000 ,32190 ,664907000 ,23280 ,195881000 ,6740 ,93620000 ,32980 ,185135000 ,15350 ,96137000 ,,,,,,,,,,
24,24010,Bellechasse--Les Etchemins--Lévis,61860,2422599000 ,35720 ,808046000 ,30550 ,315144000 ,9460 ,138445000 ,35040 ,189117000 ,19390 ,120663000 ,,,,,,,,,,
24,24011,Beloeil--Chambly,65780,3077837000 ,28100 ,709933000 ,28870 ,383970000 ,9380 ,183613000 ,31020 ,168455000 ,20850 ,147081000 ,,,,,,,,,,
24,24012,Berthier--Maskinongé,50580,1735484000 ,32380 ,623799000 ,22780 ,219996000 ,7730 ,104394000 ,37880 ,222886000 ,15370 ,103670000 ,,,,,,,,,,
24,24013,Thérèse-De Blainville,55550,2736055000 ,22500 ,555321000 ,24550 ,399396000 ,7690 ,191619000 ,26310 ,133819000 ,17770 ,141054000 ,,,,,,,,,,
24,24014,Pierre-Boucher--Les Patriotes--Verchères,57220,2911027000 ,25970 ,747258000 ,28400 ,377299000 ,8010 ,200926000 ,24500 ,126864000 ,19020 ,171456000 ,,,,,,,,,,
24,24015,Bourassa,43670,1301312000 ,23730 ,436679000 ,18890 ,117218000 ,5340 ,60762000 ,34750 ,206969000 ,11620 ,52894000 ,,,,,,,,,,
24,24016,Brome--Missisquoi,50210,1858527000 ,34690 ,813778000 ,27040 ,381377000 ,10430 ,169634000 ,31570 ,170282000 ,18420 ,143647000 ,,,,,,,,,,
24,24017,Brossard--Saint-Lambert,53350,2668204000 ,28390 ,818691000 ,33130 ,456709000 ,8950 ,249849000 ,24990 ,134914000 ,20750 ,174284000 ,,,,,,,,,,
24,24018,Rimouski-Neigette--Témiscouata--Les Basques,43730,1515036000 ,29510 ,617755000 ,19590 ,174429000 ,6780 ,93640000 ,32170 ,196922000 ,13520 ,78685000 ,,,,,,,,,,
24,24019,Charlesbourg--Haute-Saint-Charles,58460,2381047000 ,30290 ,788861000 ,24070 ,164401000 ,6590 ,104052000 ,28730 ,152686000 ,17880 ,109338000 ,,,,,,,,,,
24,24020,Beauport--Côte-de-Beaupré--Île d'Orléans--Charlevoix,52360,2020523000 ,29300 ,662720000 ,23160 ,200012000 ,7000 ,116612000 ,30600 ,176572000 ,15940 ,121651000 ,,,,,,,,,,
24,24021,Châteauguay--Lacolle,53980,2063043000 ,23550 ,507288000 ,20670 ,197819000 ,6840 ,96267000 ,28670 ,157810000 ,15280 ,97524000 ,,,,,,,,,,
24,24022,Chicoutimi--Le Fjord,42290,1590974000 ,26580 ,625526000 ,17420 ,137596000 ,4230 ,101004000 ,27300 ,160871000 ,14090 ,104516000 ,,,,,,,,,,
24,24023,Compton--Stanstead,54440,2039421000 ,27420 ,581283000 ,24130 ,266474000 ,11270 ,148678000 ,32430 ,174531000 ,17480 ,111178000 ,,,,,,,,,,
24,24024,Dorval--Lachine--LaSalle,55430,2183350000 ,25740 ,561983000 ,27150 ,235667000 ,7090 ,113792000 ,31770 ,183424000 ,17180 ,112787000 ,,,,,,,,,,
