Summary Statistics of TFSA by Federal Electoral Districts,,,,,Contributions,,Withdrawals,,,,,,,,,,,,,,,,,
Prov/Terr,FED ID,Federal Electoral Districts,Number of Holders,FMV,(#),($),(#),($),,,,,,,,,,,,,,,,
10,10001,Avalon,20730,274503000 ,12720 ,91724000 ,6210 ,34103000 ,,,,,,,,,,,,,,,,
10,10002,Bonavista--Burin--Trinity,15600,241312000 ,8920 ,70192000 ,3920 ,22874000 ,,,,,,,,,,,,,,,,
10,10003,Coast of Bays--Central--Notre Dame,19200,278571000 ,11210 ,82947000 ,5160 ,28345000 ,,,,,,,,,,,,,,,,
10,10004,Labrador,6160,74749000 ,3830 ,26840000 ,1870 ,10091000 ,,,,,,,,,,,,,,,,
10,10005,Long Range Mountains,19280,291237000 ,11160 ,85602000 ,5440 ,30770000 ,,,,,,,,,,,,,,,,
10,10006,St. John's East,24850,385206000 ,15900 ,123575000 ,6960 ,39728000 ,,,,,,,,,,,,,,,,
10,10007,St. John's South--Mount Pearl,21460,289941000 ,13420 ,96468000 ,6710 ,34532000 ,,,,,,,,,,,,,,,,
TOTAL,,,127280,1835519000 ,77160 ,577348000 ,36260 ,200443000 ,,,,,,,,,,,,,,,,
11,11001,Cardigan,9470,135717000 ,5500 ,42126000 ,2660 ,14438000 ,,,,,,,,,,,,,,,,
11,11002,Charlottetown,10390,160146000 ,6410 ,51059000 ,3080 ,16209000 ,,,,,,,,,,,,,,,,
11,11003,Egmont,7380,113005000 ,4330 ,34640000 ,2010 ,10168000 ,,,,,,,,,,,,,,,,
11,11004,Malpeque,8890,130416000 ,5160 ,41610000 ,2550 ,13655000 ,,,,,,,,,,,,,,,,
TOTAL,,,36130,539284000 ,21390 ,169435000 ,10310 ,54471000 ,,,,,,,,,,,,,,,,
12,12001,Cape Breton--Canso,15930,228803000 ,9440 ,68996000 ,4670 ,22751000 ,,,,,,,,,,,,,,,,
12,12002,Central Nova,19130,273996000 ,11720 ,82365000 ,6060 ,28796000 ,,,,,,,,,,,,,,,,
12,12003,Cumberland--Colchester,21920,312562000 ,13230 ,92643000 ,6980 ,33560000 ,,,,,,,,,,,,,,,,
12,12004,Dartmouth--Cole Harbour,30090,439720000 ,19230 ,134508000 ,9670 ,45184000 ,,,,,,,,,,,,,,,,
12,12005,Halifax,30320,471530000 ,19360 ,147630000 ,9200 ,50468000 ,,,,,,,,,,,,,,,,
12,12006,Halifax West,31900,467996000 ,20360 ,151562000 ,10020 ,53257000 ,,,,,,,,,,,,,,,,
12,12007,Kings--Hants,24480,346700000 ,15250 ,104074000 ,7810 ,37328000 ,,,,,,,,,,,,,,,,
12,12008,Sackville--Preston--Chezzetcook,25310,301589000 ,15800 ,100645000 ,8710 ,39168000 ,,,,,,,,,,,,,,,,
12,12009,South Shore--St. Margarets,29290,445434000 ,18000 ,130320000 ,9090 ,47228000 ,,,,,,,,,,,,,,,,
12,12010,Sydney--Victoria,15090,209888000 ,8900 ,62471000 ,4560 ,22583000 ,,,,,,,,,,,,,,,,
12,12011,West Nova,22260,327538000 ,13550 ,95003000 ,6490 ,32241000 ,,,,,,,,,,,,,,,,
TOTAL,,,265710,3825756000 ,164850 ,1170216000 ,83270 ,412565000 ,,,,,,,,,,,,,,,,
13,13001,Acadie--Bathurst,15690,239096000 ,8960 ,73198000 ,4410 ,24224000 ,,,,,,,,,,,,,,,,
13,13002,Beauséjour,20570,292427000 ,12530 ,91409000 ,6520 ,33282000 ,,,,,,,,,,,,,,,,
13,13003,Fredericton,24430,375069000 ,15720 ,114808000 ,7790 ,41492000 ,,,,,,,,,,,,,,,,
13,13004,Fundy Royal,22870,306590000 ,14280 ,96755000 ,7910 ,38342000 ,,,,,,,,,,,,,,,,
13,13005,Madawaska--Restigouche,13160,204130000 ,7840 ,59601000 ,4070 ,22215000 ,,,,,,,,,,,,,,,,
13,13006,Miramichi--Grand Lake,11060,155306000 ,6540 ,47935000 ,3410 ,18286000 ,,,,,,,,,,,,,,,,
13,13007,Moncton--Riverview--Dieppe,26900,371556000 ,16880 ,113789000 ,9300 ,44354000 ,,,,,,,,,,,,,,,,
13,13008,New Brunswick Southwest,17070,239902000 ,10390 ,74897000 ,5570 ,28343000 ,,,,,,,,,,,,,,,,
13,13009,Saint John--Rothesay,21450,301267000 ,13620 ,95590000 ,7180 ,34726000 ,,,,,,,,,,,,,,,,
13,13010,Tobique--Mactaquac,16710,230814000 ,10150 ,66114000 ,5580 ,27146000 ,,,,,,,,,,,,,,,,
TOTAL,,,189900,2716158000 ,116910 ,834096000 ,61720 ,312411000 ,,,,,,,,,,,,,,,,
24,24001,Abitibi--Baie-James--Nunavik--Eeyou,20260,257865000 ,12150 ,83475000 ,6390 ,30684000 ,,,,,,,,,,,,,,,,
24,24002,Abitibi--Témiscamingue,31000,486962000 ,18480 ,148892000 ,9090 ,51450000 ,,,,,,,,,,,,,,,,
24,24003,Ahuntsic-Cartierville,39320,680376000 ,25410 ,202520000 ,11440 ,65381000 ,,,,,,,,,,,,,,,,
24,24004,Alfred-Pellan,35490,602280000 ,22210 ,179346000 ,10370 ,58891000 ,,,,,,,,,,,,,,,,
24,24005,Argenteuil--La Petite-Nation,26610,414709000 ,15740 ,132098000 ,8380 ,46501000 ,,,,,,,,,,,,,,,,
24,24006,Avignon--La Mitis--Matane--Matapédia,19890,317854000 ,11690 ,96241000 ,6140 ,33710000 ,,,,,,,,,,,,,,,,
24,24007,Beauce,36560,677112000 ,22080 ,192458000 ,9710 ,56696000 ,,,,,,,,,,,,,,,,
24,24008,Beauport--Limoilou,30650,485331000 ,19240 ,149266000 ,10010 ,54199000 ,,,,,,,,,,,,,,,,
24,24009,Bécancour--Nicolet--Saurel,31490,597528000 ,19470 ,169297000 ,8720 ,50971000 ,,,,,,,,,,,,,,,,
24,24010,Bellechasse--Les Etchemins--Lévis,40310,752487000 ,24840 ,217044000 ,10690 ,63903000 ,,,,,,,,,,,,,,,,
24,24011,Beloeil--Chambly,39010,622284000 ,23770 ,192586000 ,11820 ,67220000 ,,,,,,,,,,,,,,,,
24,24012,Berthier--Maskinongé,29810,505449000 ,17880 ,154740000 ,8830 ,50349000 ,,,,,,,,,,,,,,,,
24,24013,Thérèse-De Blainville,33060,520080000 ,19990 ,163644000 ,10130 ,58195000 ,,,,,,,,,,,,,,,,
