Summary Statistics of GST/HST Credit Recipients and Payments by Federal Electoral Districts and Number of Dependent Children,,,Total of GST/HST Credit Recipients,,No Children,,1 Child,,2 Children,,3 or more Children,,,,,,,,,,,,,
Prov/Terr,FED ID,Federal Electoral Districts,(#),($),(#),($),(#),($),(#),($),(#),($),,,,,,,,,,,,
10,10001,Avalon,24270,9860000 ,22730 ,8695000 ,950 ,696000 ,440 ,345000 ,150 ,123000 ,,,,,,,,,,,,
10,10002,Bonavista--Burin--Trinity,24270,10126000 ,22800 ,9020000 ,860 ,620000 ,410 ,307000 ,200 ,180000 ,,,,,,,,,,,,
10,10003,Coast of Bays--Central--Notre Dame,25510,10704000 ,23710 ,9341000 ,1000 ,717000 ,530 ,405000 ,270 ,240000 ,,,,,,,,,,,,
10,10004,Labrador,5610,2391000 ,5000 ,1896000 ,300 ,214000 ,180 ,150000 ,130 ,131000 ,,,,,,,,,,,,
10,10005,Long Range Mountains,30410,12638000 ,28400 ,11077000 ,1250 ,915000 ,560 ,455000 ,200 ,191000 ,,,,,,,,,,,,
10,10006,St. John's East,23580,9369000 ,22130 ,8224000 ,840 ,601000 ,410 ,335000 ,210 ,209000 ,,,,,,,,,,,,
10,10007,St. John's South--Mount Pearl,26340,10545000 ,24780 ,9312000 ,990 ,742000 ,410 ,339000 ,160 ,152000 ,,,,,,,,,,,,
TOTAL,,,159980,65632000 ,149540 ,57565000 ,6190 ,4505000 ,2940 ,2337000 ,1310 ,1226000 ,,,,,,,,,,,,
11,11001,Cardigan,10900,4470000 ,9930 ,3737000 ,470 ,334000 ,310 ,231000 ,190 ,168000 ,,,,,,,,,,,,
11,11002,Charlottetown,13060,5262000 ,11970 ,4455000 ,610 ,423000 ,320 ,236000 ,170 ,148000 ,,,,,,,,,,,,
11,11003,Egmont,12160,5011000 ,11100 ,4212000 ,540 ,375000 ,300 ,228000 ,230 ,195000 ,,,,,,,,,,,,
11,11004,Malpeque,9430,3793000 ,8610 ,3200000 ,400 ,265000 ,240 ,179000 ,170 ,150000 ,,,,,,,,,,,,
TOTAL,,,45560,18537000 ,41600 ,15604000 ,2020 ,1397000 ,1170 ,874000 ,760 ,662000 ,,,,,,,,,,,,
12,12001,Cape Breton--Canso,25500,10491000 ,23610 ,8977000 ,1030 ,758000 ,540 ,432000 ,330 ,323000 ,,,,,,,,,,,,
12,12002,Central Nova,23970,9735000 ,22110 ,8283000 ,1020 ,739000 ,530 ,422000 ,320 ,292000 ,,,,,,,,,,,,
12,12003,Cumberland--Colchester,28080,11556000 ,25740 ,9742000 ,1210 ,863000 ,710 ,563000 ,420 ,388000 ,,,,,,,,,,,,
12,12004,Dartmouth--Cole Harbour,28390,11312000 ,26250 ,9653000 ,1230 ,893000 ,610 ,487000 ,300 ,279000 ,,,,,,,,,,,,
12,12005,Halifax,31600,12322000 ,29750 ,10873000 ,1010 ,720000 ,500 ,405000 ,320 ,323000 ,,,,,,,,,,,,
12,12006,Halifax West,26060,10527000 ,23580 ,8642000 ,1240 ,856000 ,770 ,586000 ,460 ,443000 ,,,,,,,,,,,,
12,12007,Kings--Hants,26670,10978000 ,24360 ,9194000 ,1230 ,876000 ,670 ,515000 ,420 ,393000 ,,,,,,,,,,,,
12,12008,Sackville--Preston--Chezzetcook,22040,8802000 ,20270 ,7473000 ,990 ,716000 ,510 ,382000 ,270 ,232000 ,,,,,,,,,,,,
12,12009,South Shore--St. Margarets,29390,11954000 ,27250 ,10351000 ,1160 ,819000 ,650 ,479000 ,330 ,304000 ,,,,,,,,,,,,
12,12010,Sydney--Victoria,30170,12664000 ,27510 ,10478000 ,1480 ,1119000 ,740 ,617000 ,430 ,449000 ,,,,,,,,,,,,
12,12011,West Nova,29290,12115000 ,26950 ,10301000 ,1240 ,888000 ,680 ,536000 ,420 ,390000 ,,,,,,,,,,,,
TOTAL,,,301140,122456000 ,277380 ,103968000 ,12840 ,9248000 ,6900 ,5425000 ,4030 ,3816000 ,,,,,,,,,,,,
13,13001,Acadie--Bathurst,31740,12887000 ,29990 ,11574000 ,1070 ,756000 ,490 ,377000 ,200 ,179000 ,,,,,,,,,,,,
13,13002,Beauséjour,25480,10256000 ,23880 ,9078000 ,930 ,651000 ,460 ,334000 ,220 ,193000 ,,,,,,,,,,,,
13,13003,Fredericton,23550,9544000 ,21380 ,7874000 ,1130 ,802000 ,640 ,489000 ,400 ,379000 ,,,,,,,,,,,,
13,13004,Fundy Royal,21870,9017000 ,19860 ,7496000 ,1020 ,728000 ,590 ,446000 ,400 ,348000 ,,,,,,,,,,,,
13,13005,Madawaska--Restigouche,23450,9470000 ,21960 ,8356000 ,870 ,614000 ,420 ,312000 ,210 ,188000 ,,,,,,,,,,,,
13,13006,Miramichi--Grand Lake,22240,9367000 ,20350 ,7888000 ,1030 ,754000 ,550 ,432000 ,310 ,293000 ,,,,,,,,,,,,
13,13007,Moncton--Riverview--Dieppe,31470,12751000 ,28930 ,10836000 ,1410 ,991000 ,750 ,567000 ,390 ,356000 ,,,,,,,,,,,,
