Summary Statistics of CCB Recipients and Payments by Federal Electoral Districts and Number of Dependent Children,,,Total of CCB Recipients,,1 Child,,2 Children,,3 Children,,4 Children,,5 or more Children,,Previously Dependent Children,,,,,,,,,
Prov/Terr,FED ID,Federal Electoral Districts,(#),($),(#),($),(#),($),(#),($),(#),($),(#),($),(#),($),,,,,,,,
10,10001,Avalon,9250,47947000 ,4220 ,14714000 ,3730 ,22291000 ,740 ,7741000 ,120 ,1853000 ,20 ,554000 ,420 ,795000 ,,,,,,,,
10,10002,Bonavista--Burin--Trinity,6600,38229000 ,3210 ,12511000 ,2380 ,16254000 ,520 ,6062000 ,110 ,2109000 ,20 ,428000 ,370 ,865000 ,,,,,,,,
10,10003,Coast of Bays--Central--Notre Dame,7500,43874000 ,3610 ,13833000 ,2620 ,18477000 ,630 ,7394000 ,140 ,2426000 ,30 ,674000 ,490 ,1069000 ,,,,,,,,
10,10004,Labrador,3160,17548000 ,1440 ,4874000 ,1120 ,6272000 ,330 ,3671000 ,80 ,1455000 ,30 ,860000 ,170 ,416000 ,,,,,,,,
10,10005,Long Range Mountains,8260,49732000 ,4060 ,16228000 ,2890 ,21192000 ,660 ,8373000 ,120 ,2021000 ,30 ,740000 ,500 ,1177000 ,,,,,,,,
10,10006,St. John's East,7870,41731000 ,3670 ,12864000 ,3020 ,17971000 ,640 ,6491000 ,130 ,2212000 ,50 ,1222000 ,370 ,971000 ,,,,,,,,
10,10007,St. John's South--Mount Pearl,7980,45136000 ,4090 ,16259000 ,2770 ,18873000 ,590 ,6684000 ,90 ,1657000 ,30 ,591000 ,410 ,1071000 ,,,,,,,,
TOTAL,,,50620,284197000 ,24290 ,91284000 ,18520 ,121330000 ,4110 ,46416000 ,780 ,13734000 ,200 ,5070000 ,2730 ,6364000 ,,,,,,,,
11,11001,Cardigan,3980,26029000 ,1640 ,6562000 ,1500 ,10564000 ,480 ,5295000 ,140 ,2295000 ,30 ,940000 ,190 ,372000 ,,,,,,,,
11,11002,Charlottetown,3520,22297000 ,1630 ,6677000 ,1210 ,8890000 ,350 ,4105000 ,80 ,1385000 ,20 ,595000 ,220 ,644000 ,,,,,,,,
11,11003,Egmont,3990,27268000 ,1610 ,6536000 ,1440 ,10576000 ,520 ,6190000 ,130 ,2321000 ,50 ,1124000 ,240 ,521000 ,,,,,,,,
11,11004,Malpeque,3840,24339000 ,1490 ,5721000 ,1500 ,10010000 ,490 ,5248000 ,120 ,1874000 ,40 ,1087000 ,190 ,399000 ,,,,,,,,
TOTAL,,,15320,99933000 ,6380 ,25496000 ,5650 ,40040000 ,1850 ,20839000 ,470 ,7876000 ,140 ,3746000 ,840 ,1936000 ,,,,,,,,
12,12001,Cape Breton--Canso,6610,45904000 ,3000 ,13105000 ,2280 ,17858000 ,700 ,8775000 ,200 ,3507000 ,60 ,1649000 ,370 ,1011000 ,,,,,,,,
12,12002,Central Nova,6920,46954000 ,2940 ,12449000 ,2550 ,19130000 ,800 ,9748000 ,200 ,3441000 ,50 ,1329000 ,390 ,857000 ,,,,,,,,
12,12003,Cumberland--Colchester,8090,55453000 ,3590 ,15295000 ,2790 ,21690000 ,930 ,11859000 ,190 ,3579000 ,60 ,1765000 ,530 ,1265000 ,,,,,,,,
12,12004,Dartmouth--Cole Harbour,9110,57343000 ,4280 ,17462000 ,3300 ,23892000 ,830 ,9872000 ,190 ,3409000 ,60 ,1512000 ,460 ,1196000 ,,,,,,,,
12,12005,Halifax,6780,42668000 ,3300 ,13435000 ,2290 ,16355000 ,620 ,7469000 ,140 ,2493000 ,70 ,1889000 ,370 ,1028000 ,,,,,,,,
12,12006,Halifax West,9920,58519000 ,4430 ,16923000 ,3790 ,24453000 ,980 ,10696000 ,220 ,3761000 ,60 ,1520000 ,440 ,1167000 ,,,,,,,,
12,12007,Kings--Hants,9060,59663000 ,3980 ,16377000 ,3330 ,24451000 ,950 ,11136000 ,210 ,3717000 ,90 ,2670000 ,510 ,1313000 ,,,,,,,,
12,12008,Sackville--Preston--Chezzetcook,10440,59664000 ,4640 ,17093000 ,4010 ,25830000 ,1010 ,10989000 ,210 ,3481000 ,60 ,1304000 ,510 ,967000 ,,,,,,,,
